Mentor ID,Years of Experience,Past Success Rate,Rating,Availability,Number of Aspirants helped,Spec_General Knowledge,Spec_English Comprehension,Spec_Quantitative Techniques,Spec_Legal Reasoning,Spec_Logical Reasoning,College_GNLU Gandhinagar,College_NALSAR Hyderabad,College_NLIU Bhopal,College_NLSIU Bangalore,College_NUJS Kolkata,Teaching_Interactive,Teaching_Lecture-based,Teaching_Problem-solving,Style_Personalized Guidance,Style_Concept Clarity,Style_Motivation,Style_Test Strategy
101,-0.23911544498980436,-0.7029994521729646,-0.3494816226644155,Weekdays,1.6302244741223524,0,0,0,1,1,False,False,False,False,True,True,False,False,1,0,0,0
102,1.4688520192230834,-0.5243087898513654,0.3057964198313645,Weekends,-1.7091552680277176,0,0,1,0,0,False,True,False,False,False,False,False,True,0,1,0,1
103,1.4688520192230834,-0.8497954974332959,1.1795004764924013,Anytime,0.9471695268643835,0,1,0,0,0,False,False,True,False,False,False,False,True,1,0,0,0
104,1.127258526380506,1.474687681904493,0.9610744623271427,Weekends,-0.19125538523223126,0,1,0,0,0,False,True,False,False,False,False,True,False,0,0,0,1
105,0.44407154069535076,-1.4632376202146962,0.742648448161882,Weekends,0.4917995620257376,0,0,0,0,1,False,True,False,False,False,False,False,True,0,0,1,0
106,1.4688520192230834,0.7367714523364969,1.397926490657662,Anytime,1.0989595151439322,0,0,0,1,0,True,False,False,False,False,True,False,False,0,0,0,1
107,1.127258526380506,0.9493388513271865,-1.441611693490712,Weekdays,0.5676945561655119,0,1,0,0,0,True,False,False,False,False,True,False,False,0,1,0,0
108,-0.9223024306749594,-0.35353666500506,-1.441611693490712,Weekends,-1.7091552680277176,1,0,0,0,1,False,True,False,False,False,False,False,True,0,1,0,0
109,-0.23911544498980436,-1.1523494305060475,-0.7863336509949339,Weekends,1.2507495034234808,0,0,1,1,0,False,False,False,False,True,False,False,True,0,0,0,1
110,0.1024780478527732,0.9523737482346363,-0.7863336509949339,Weekdays,-1.4814702856083948,0,1,1,0,0,False,False,False,True,False,False,False,True,1,0,0,0
111,1.127258526380506,1.0557196509881448,0.742648448161882,Anytime,0.4159045678859633,0,1,0,0,1,False,False,False,False,True,False,True,False,0,1,0,0
112,-0.9223024306749594,-0.10327179583774969,1.6163525048229208,Weekdays,-0.8743103324902001,0,0,0,0,1,False,False,False,False,True,False,False,True,1,0,1,0
113,-1.6054894163601146,-0.07570291107564611,1.6163525048229208,Weekends,-1.329680297328846,0,0,0,0,1,True,False,False,False,False,False,True,False,0,0,1,0
114,-1.263895923517537,-0.29957745937190916,0.742648448161882,Weekends,1.0230645210041578,0,0,1,0,0,False,False,True,False,False,False,False,True,1,0,1,0
